<DATE>	<TIME>	<BID>	<ASK>	<LAST>	<VOLUME>	<FLAGS>
2026.04.03	00:00:15.523	1.67056	1.67243			6
2026.04.03	00:00:15.792	1.67057				2
2026.04.03	00:00:22.092	1.66907	1.67100			6
2026.04.03	00:01:42.704	1.66903	1.67121			6
2026.04.03	00:02:03.491	1.66903				2
2026.04.03	00:02:40.117	1.66915	1.67133			6
2026.04.03	00:04:46.713	1.66915	1.67133			6
2026.04.03	00:05:00.659	1.67088	1.67286			6
2026.04.03	00:05:00.690	1.67095	1.67294			6
2026.04.03	00:05:00.921	1.67096				2
2026.04.03	00:05:00.951	1.67089	1.67289			6
2026.04.03	00:05:05.953	1.66987	1.67153			6
2026.04.03	00:05:51.020	1.67042	1.67225			6
2026.04.03	00:06:00.950	1.67055	1.67213			6
2026.04.03	00:06:08.691	1.67034	1.67217			6
2026.04.03	00:06:21.099	1.67035				2
2026.04.03	00:06:23.073	1.67032	1.67215			6
2026.04.03	00:06:37.826	1.67071	1.67254			6
2026.04.03	00:06:47.656	1.67069	1.67251			6
2026.04.03	00:07:20.528	1.67046	1.67227			6
2026.04.03	00:07:26.376	1.67059	1.67230			6
2026.04.03	00:07:29.889	1.67050	1.67228			6
2026.04.03	00:07:30.638	1.67049				2
2026.04.03	00:07:30.728	1.67046	1.67227			6
2026.04.03	00:07:31.149	1.67049	1.67228			6
2026.04.03	00:07:31.652	1.67047	1.67227			6
2026.04.03	00:07:35.285	1.67061	1.67233			6
2026.04.03	00:07:38.214	1.67075	1.67245			6
2026.04.03	00:07:43.954	1.67080	1.67250			6
2026.04.03	00:07:48.745	1.67081				2
2026.04.03	00:07:52.482	1.67078	1.67248			6
2026.04.03	00:07:55.721	1.67076	1.67245			6
2026.04.03	00:08:12.896	1.67071	1.67256			6
2026.04.03	00:08:12.956	1.67081	1.67266			6
2026.04.03	00:08:15.259	1.67076	1.67261			6
2026.04.03	00:08:15.319	1.67074	1.67259			6
2026.04.03	00:08:16.710	1.67081	1.67266			6
2026.04.03	00:08:16.962	1.67077	1.67261			6
2026.04.03	00:08:30.142	1.67025	1.67202			6
2026.04.03	00:08:30.207	1.67021	1.67195			6
2026.04.03	00:08:30.267	1.67023	1.67198			6
2026.04.03	00:08:30.298	1.67016	1.67189			6
2026.04.03	00:08:31.654		1.67188			4
2026.04.03	00:08:46.124	1.67055	1.67255			6
2026.04.03	00:08:46.156	1.67056	1.67256			6
2026.04.03	00:08:48.230	1.67053	1.67253			6
2026.04.03	00:08:49.060	1.67054	1.67254			6
2026.04.03	00:08:51.987	1.67056	1.67256			6
2026.04.03	00:08:52.427	1.67051	1.67251			6
2026.04.03	00:08:56.855	1.67049	1.67249			6
2026.04.03	00:08:58.694	1.67047	1.67247			6
2026.04.03	00:08:59.458	1.67044	1.67244			6
2026.04.03	00:09:01.046	1.67049	1.67249			6
2026.04.03	00:09:01.507	1.67047	1.67247			6
2026.04.03	00:09:05.526	1.67045	1.67245			6
2026.04.03	00:09:06.223	1.67043	1.67243			6
2026.04.03	00:09:20.623	1.67038	1.67238			6
2026.04.03	00:09:21.492	1.67039	1.67239			6
2026.04.03	00:09:24.846	1.67036	1.67236			6
2026.04.03	00:09:32.153	1.67034	1.67234			6
2026.04.03	00:09:33.970	1.67035	1.67235			6
2026.04.03	00:09:34.000	1.67037	1.67237			6
2026.04.03	00:09:34.154	1.67036	1.67236			6
2026.04.03	00:09:34.616	1.67037	1.67237			6
2026.04.03	00:09:34.769	1.67036	1.67236			6
2026.04.03	00:09:35.074	1.67037	1.67237			6
2026.04.03	00:09:35.176		1.67236			4
2026.04.03	00:09:35.269		1.67234			4
2026.04.03	00:09:35.329	1.67035	1.67233			6
2026.04.03	00:09:35.463		1.67232			4
2026.04.03	00:09:35.562		1.67234			4
2026.04.03	00:09:35.621		1.67232			4
2026.04.03	00:09:35.916		1.67233			4
2026.04.03	00:09:35.975		1.67232			4
2026.04.03	00:09:36.069	1.67037	1.67234			6
2026.04.03	00:09:36.129	1.67035	1.67233			6
2026.04.03	00:09:36.210		1.67232			4
2026.04.03	00:09:36.258	1.67037	1.67236			6
2026.04.03	00:09:36.322	1.67035	1.67233			6
2026.04.03	00:09:36.382		1.67232			4
2026.04.03	00:09:36.473	1.67037	1.67234			6
2026.04.03	00:09:36.532	1.67035				2
2026.04.03	00:09:36.592	1.67033	1.67232			6
2026.04.03	00:09:36.621	1.67035	1.67233			6
2026.04.03	00:09:36.654		1.67235			4
2026.04.03	00:09:36.715	1.67037	1.67230			6
2026.04.03	00:09:36.775	1.67035	1.67228			6
2026.04.03	00:09:36.836		1.67227			4
2026.04.03	00:09:36.902	1.67038	1.67230			6
2026.04.03	00:09:37.023		1.67231			4
2026.04.03	00:09:37.083	1.67035	1.67227			6
2026.04.03	00:09:37.186	1.67038	1.67229			6
2026.04.03	00:09:37.215	1.67035	1.67227			6
2026.04.03	00:09:37.306	1.67038	1.67229			6
2026.04.03	00:09:37.365		1.67231			4
2026.04.03	00:09:37.511		1.67230			4
2026.04.03	00:09:37.541	1.67040	1.67233			6
2026.04.03	00:09:37.572	1.67038	1.67230			6
2026.04.03	00:09:37.609	1.67040	1.67232			6
2026.04.03	00:09:37.670	1.67038	1.67230			6
2026.04.03	00:09:37.730		1.67231			4
2026.04.03	00:09:37.800		1.67230			4
2026.04.03	00:09:37.830	1.67040	1.67232			6
2026.04.03	00:09:37.988	1.67038	1.67229			6
2026.04.03	00:09:38.049		1.67227			4
2026.04.03	00:09:38.228	1.67056	1.67235			6
2026.04.03	00:09:38.288	1.67054	1.67233			6
2026.04.03	00:09:38.318	1.67056	1.67236			6
2026.04.03	00:09:38.383	1.67054	1.67233			6
2026.04.03	00:09:38.463	1.67056	1.67235			6
2026.04.03	00:09:38.504		1.67237			4
2026.04.03	00:09:38.654		1.67236			4
2026.04.03	00:09:38.686	1.67054	1.67233			6
2026.04.03	00:09:38.756		1.67235			4
2026.04.03	00:09:38.847	1.67056	1.67238			6
